run_id,dataset_type,imbalance_ratio,model,strategy,train_set_size,accuracy,f1_macro,f1_minority,precision_minority,recall_minority,roc_auc
1,control,50:1,ddpm,Naive Oversampling,420,0.7823834196891192,0.7816742081447964,0.7692307692307693,0.7526881720430108,0.7865168539325843,0.867761452031115
1,control,50:1,nflow,Naive Oversampling,420,0.772020725388601,0.7715238915195868,0.7608695652173914,0.7368421052631579,0.7865168539325843,0.8684096802074329
1,control,50:1,ctgan,Naive Oversampling,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.8736495246326705
1,control,50:1,tvae,Naive Oversampling,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.8652225583405359
2,control,50:1,baseline,N/A,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.866843128781331
2,control,50:1,ddpm,Naive Oversampling,420,0.7668393782383419,0.7656060238037405,0.7486033519553073,0.7444444444444445,0.7528089887640449,0.8720289541918755
2,control,50:1,nflow,Naive Oversampling,420,0.772020725388601,0.7706352636127917,0.7528089887640449,0.7528089887640449,0.7528089887640449,0.8695980985306827
2,control,50:1,ctgan,Naive Oversampling,420,0.7823834196891192,0.7819091691777873,0.7717391304347826,0.7473684210526316,0.797752808988764,0.8693820224719102
2,control,50:1,tvae,Naive Oversampling,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.8652225583405359
3,control,50:1,baseline,N/A,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.866843128781331
3,control,50:1,ddpm,Naive Oversampling,420,0.7772020725388601,0.7763374208327719,0.7624309392265194,0.75,0.7752808988764045,0.8670051858254104
3,control,50:1,nflow,Naive Oversampling,420,0.7875647668393783,0.7869929204016259,0.7759562841530054,0.7553191489361702,0.797752808988764,0.8727852203975801
3,control,50:1,ctgan,Naive Oversampling,420,0.7823834196891192,0.7813915857605178,0.7666666666666667,0.7582417582417582,0.7752808988764045,0.8722990492653414
3,control,50:1,tvae,Naive Oversampling,420,0.7927461139896373,0.792294446835988,0.782608695652174,0.7578947368421053,0.8089887640449438,0.8652225583405359
1,imbalanced,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
1,imbalanced,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
1,imbalanced,1:1,nflow,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
1,imbalanced,1:1,ctgan,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
1,imbalanced,1:1,tvae,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
2,imbalanced,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
2,imbalanced,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
2,imbalanced,1:1,nflow,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
2,imbalanced,1:1,ctgan,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
2,imbalanced,1:1,tvae,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
3,imbalanced,1:1,baseline,N/A,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
3,imbalanced,1:1,ddpm,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
3,imbalanced,1:1,nflow,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
3,imbalanced,1:1,ctgan,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
3,imbalanced,1:1,tvae,Naive Oversampling,712,0.7927461139896373,0.7927405498281787,0.7916666666666666,0.7378640776699029,0.8539325842696629,0.8735414866032843
1,imbalanced,10:1,baseline,N/A,453,0.7253886010362695,0.7001436402544485,0.6131386861313869,0.875,0.47191011235955055,0.8791594641313742
1,imbalanced,10:1,ddpm,Naive Oversampling,453,0.7409326424870466,0.7198025551684089,0.6428571428571429,0.8823529411764706,0.5056179775280899,0.8826166810717371
1,imbalanced,10:1,nflow,Naive Oversampling,453,0.7409326424870466,0.7198025551684089,0.6428571428571429,0.8823529411764706,0.5056179775280899,0.8402117545375972
1,imbalanced,10:1,ctgan,Naive Oversampling,453,0.7253886010362695,0.7056318167429279,0.6293706293706294,0.8333333333333334,0.5056179775280899,0.8429127052722558
1,imbalanced,10:1,tvae,Naive Oversampling,453,0.7823834196891192,0.7720985155195681,0.7236842105263158,0.873015873015873,0.6179775280898876,0.8841832324978393
2,imbalanced,10:1,baseline,N/A,453,0.7253886010362695,0.7001436402544485,0.6131386861313869,0.875,0.47191011235955055,0.8791594641313742
